AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
56,27,Advika Cheema,20,M,A3
57,27,Hema Garde,36,M,A4
58,28,Garima Jha,67,F,A1
59,29,Jalsa Aggarwal,28,F,A1
60,29,Gagan Menon,34,M,A2
61,30,Darika Rao,41,M,A1
62,31,Ria Shroff,22,M,A1
63,31,Upkaar Luthra,62,M,A2
64,31,Matthew Chatterjee,57,M,A3
65,32,Chandani Brar,40,M,A1
66,33,Oliver Kakar,55,M,A1
67,33,Jonathan Basak,29,F,A2
68,34,Mekhala Nanda,28,F,A1
69,34,Zinal Shanker,50,M,A2
70,34,Oni Chowdhury,50,M,A3
71,35,Baljiwan Gera,42,F,A1
72,35,Neha Dhawan,21,M,A2
73,35,Balvan Randhawa,56,M,A3
74,35,Wazir Bawa,56,F,A4
75,36,Vedant Desai,43,F,A1
76,37,Vedhika Varty,29,M,A1
77,37,Daksh Varma,48,M,A2
78,37,Dominic Mukhopadhyay,26,M,A3
79,37,Krishna Viswanathan,30,M,A4
80,38,Ucchal Tiwari,58,F,A1
81,38,Jatin Balasubramanian,67,M,A2
82,39,Gautam Mane,22,M,A1
83,39,Libni Bawa,65,M,A2
84,39,Tanish Kant,57,M,A3
85,39,Samuel Luthra,38,M,A4
86,40,Krisha Palla,23,M,A1
87,40,Zayyan Kamdar,38,M,A2
88,41,Vasatika Bhatt,60,F,A1
89,41,Aradhana Nair,54,M,A2
90,42,Logan Bal,55,M,A1
91,42,Chakrika Lad,20,M,A2
92,42,Nidhi Rama,19,M,A3
93,43,Gunbir Sinha,21,F,A1
94,43,Aarna Goswami,20,F,A2
95,43,Gaurav Kapadia,31,F,A3
96,43,Udant Mohanty,49,F,A4
97,44,Lakshmi Wagle,53,F,A1
98,44,Odika Bhagat,35,M,A2
99,44,Laksh Iyer,68,M,A3
100,44,Nimrat Shankar,53,M,A4
101,45,Siya Mahal,44,M,A1
102,45,Om Dutt,39,F,A2
103,45,Gaurang Dayal,47,M,A3
104,46,Rayaan Badami,63,F,A1
105,47,Chanchal Mannan,68,M,A1
106,47,Zinal Viswanathan,22,F,A2
107,47,Radha Desai,61,M,A3
108,48,Siddharth Bains,31,M,A1
109,48,Jatin Peri,59,M,A2
110,48,Keya Kumer,58,M,A3
111,49,Sachi Rai,47,M,A1
112,49,Zayyan Som,43,M,A2
113,50,Yasti Dalal,66,M,A1
114,51,Saksham Parmar,66,M,A1
115,51,Chakrika Dyal,18,F,A2
116,51,Watika Johal,20,F,A3
117,52,Wakeeta Dixit,25,F,A1
118,52,Yasti Borde,50,F,A2
119,53,Balveer Mannan,54,M,A1
120,54,Lakshit Garde,52,M,A1
121,54,Ishita Sarma,48,M,A2
122,54,Girik Pradhan,20,F,A3
123,54,Qadim Comar,47,M,A4
124,55,Ojas Chowdhury,64,M,A1
125,55,Daniel Dutta,62,F,A2
126,55,Omaja Subramanian,58,F,A3
127,56,Advika Murthy,29,M,A1
128,56,Udarsh Nigam,19,F,A2
129,57,Yashasvi Singh,48,M,A1
130,58,Farhan Sharaf,17,M,A1
131,59,Aadi Chand,49,F,A1
132,60,Ishaan Chatterjee,33,F,A1
133,60,Aarnav Om,62,M,A2
134,61,Hredhaan Kumar,22,M,A1
135,61,Raghav Dara,59,M,A2
136,61,Tanveer Shankar,20,F,A3
137,62,Wishi Agrawal,35,F,A1
138,63,Omya Kothari,41,M,A1
139,63,Mitali Oza,16,M,A2
140,64,Dipta Kalla,35,F,A1
141,64,Shaurya Mannan,24,M,A2
142,64,Kevin Gokhale,33,F,A3
143,64,Jack Pandey,35,M,A4
144,65,Amara Dyal,68,M,A1
145,66,Jagrati Sethi,51,F,A1
146,66,Udarsh Ramachandran,55,M,A2
147,66,Yasti Mani,19,M,A3
148,66,Lakshmi Ram,67,M,A4
149,67,Rishi Menon,49,M,A1
150,67,Peter Borde,23,M,A2
151,67,Oscar Varkey,26,M,A3
152,68,Balveer Dube,28,F,A1
153,68,Charan Mitra,24,M,A2
154,68,Ishita Bora,41,F,A3
155,69,Netra Chanda,40,M,A1
156,69,Timothy Kala,46,F,A2
157,70,Aditya Contractor,40,M,A1
158,71,Barkha Bakshi,67,M,A1
159,71,Yoshita Trivedi,30,M,A2
160,71,Vidhi Bassi,64,M,A3
161,72,Radhika Bora,69,M,A1
162,73,Ekavir Kari,54,M,A1
163,73,Nikita Rama,58,F,A2
164,73,Nidhi Sant,67,M,A3
165,73,Anay Ramachandran,49,T,A4
166,74,Baghyawati Sarma,31,F,A1
167,75,Advay Dhaliwal,27,M,A1
168,75,Benjamin Ahluwalia,27,F,A2
169,76,Qarin Kant,50,M,A1
170,77,Guneet Hora,38,F,A1
171,77,Ganga Parikh,53,M,A2
172,77,Wahab Chaudhry,55,F,A3
173,78,Damini Dua,57,F,A1
174,78,Diya Sangha,38,F,A2
175,78,Aayush Munshi,19,M,A3
176,79,Jagrati Mody,36,F,A1
177,79,Ikbal Gill,55,M,A2
178,79,Avni Dey,24,F,A3
179,79,Adya Bose,23,M,A4
180,80,Udant Mannan,17,M,A1
181,80,Ucchal Thaker,53,M,A2
182,81,Banjeet Kanda,56,F,A1
183,81,Vincent Bhatnagar,36,F,A2
184,81,Kala Kaur,50,F,A3
185,82,Adya Ghosh,41,M,A1
186,82,Kritika Pau,58,M,A2
187,82,Zansi Krishnamurthy,26,M,A3
188,83,Vasatika Ahuja,41,M,A1
189,83,Ria Gandhi,60,M,A2
190,83,Faraj Varkey,24,M,A3
191,83,Siddharth Doctor,16,M,A4
192,84,Ishaan Subramaniam,33,M,A1
193,84,Varenya Kade,59,F,A2
194,84,Nirja Bains,69,F,A3
195,84,Caleb Datta,46,F,A4
196,85,Anirudh Mander,58,F,A1
197,85,Tarak Sen,49,M,A2
198,85,Vasatika Garde,42,F,A3
199,85,Nirja Dhar,64,M,A4
200,86,Kevin Chopra,65,M,A1
201,86,Samaksh Virk,28,M,A2
202,86,Mason Char,40,M,A3
203,86,Vamakshi Barad,44,M,A4
204,87,Veer Subramaniam,31,M,A1
205,87,Inaya Chaudhari,53,M,A2
206,87,Krish Kumar,69,F,A3
207,88,Abdul Amble,49,M,A1
208,89,Pooja Kulkarni,27,F,A1
209,89,Pallavi Pau,42,M,A2
210,90,Jagat Karpe,24,F,A1
211,90,Neel Chaudhry,60,M,A2
212,91,Urishilla Saran,21,F,A1
213,91,Devansh Lall,31,F,A2
214,92,Reva Anne,59,M,A1
215,92,Zarna Mangal,57,M,A2
216,93,Ira Rana,58,F,A1
217,94,Upkaar Hayer,37,T,A1
218,94,Netra Agrawal,59,F,A2
219,94,Parth Ray,47,F,A3
220,95,Veda Kohli,30,F,A1
221,95,Tara Sharma,43,M,A2
222,95,Vasatika Dada,64,M,A3
223,96,Adya Kothari,32,M,A1
224,97,Dipta Pandya,22,M,A1
225,97,Amruta Goswami,54,M,A2
226,98,Veer Jain,69,F,A1
227,98,Ishani Dugal,35,M,A2
228,98,Jagdish Brar,66,F,A3
229,99,Yasti Mammen,70,F,A1
230,99,Tristan Dave,35,M,A2
231,99,Pallavi Sridhar,35,M,A3
232,100,Abhiram Arora,44,F,A1
233,101,Urishilla Oza,32,M,A1
234,101,Qarin Tara,67,M,A2
235,101,Shivansh Saini,58,M,A3
236,101,Janya Rattan,54,F,A4
237,102,Urvashi Andra,29,F,A1
238,102,Oviya Tata,37,F,A2
239,103,Aachal Soni,18,M,A1
240,103,Shivani Natt,45,F,A2
241,103,Jalsa Parsa,59,F,A3
242,103,Hemangini Bahri,25,M,A4
243,104,Ekta Uppal,39,M,A1
244,105,Neel Oza,24,M,A1
245,105,Dipta Nadig,32,M,A2
246,105,Amara Rana,60,M,A3
247,106,Zayan Buch,38,F,A1
248,106,Ojas Ranganathan,49,M,A2
249,106,Girish Bhatt,69,F,A3
250,106,Chatura Bal,64,M,A4
251,107,Dayamai Karnik,52,M,A1
252,107,Bhanumati Savant,24,M,A2
253,107,Karan Vyas,35,M,A3
254,107,Ayush Banerjee,31,M,A4
255,108,Dayita Palan,32,F,A1
256,108,Utkarsh Chakraborty,51,M,A2
257,108,Darika Pau,51,F,A3
258,108,Abha Dugal,39,F,A4
259,109,Brinda Kashyap,68,M,A1
260,109,Kashvi Gulati,67,F,A2
261,110,Pahal Khatri,37,F,A1
262,110,Bhavani Wali,21,M,A2
263,110,Nitara Guha,33,F,A3
264,110,Qabil Deshpande,24,F,A4
265,111,Ekani Bahl,17,F,A1
266,111,Chandran Warrior,44,M,A2
267,111,Quincy Chaudry,51,M,A3
268,111,Amruta Dass,31,M,A4
269,112,Devika Tara,36,M,A1
270,112,Ubika Balay,57,M,A2
271,112,Faris Dhingra,22,M,A3
272,113,Saanvi Kota,58,F,A1
273,114,Devika Naidu,19,M,A1
274,114,Brijesh Verma,50,F,A2
275,114,Zehaan Srivastava,34,M,A3
276,114,Rushil Patel,49,M,A4
277,115,Brijesh Soman,59,M,A1
278,115,Kamya Chakraborty,33,M,A2
279,115,Nakul Tata,58,F,A3
280,115,Hamsini Bhasin,41,M,A4
281,116,Edhitha Palan,18,F,A1
282,116,Reyansh Bail,44,M,A2
283,116,Ishita Desai,31,M,A3
284,116,Balveer Sundaram,18,F,A4
285,117,Shivani Merchant,35,F,A1
286,117,Jeevika Setty,16,M,A2
287,117,Yashawini Raghavan,47,F,A3
288,117,Anirudh Patla,30,M,A4
289,118,Nimrat Nagy,48,F,A1
290,119,Azad Jaggi,58,F,A1
291,119,Vedika Handa,59,M,A2
292,120,Timothy Bobal,18,F,A1
293,121,Ojasvi Pillay,26,M,A1
294,121,Amaira Wadhwa,51,M,A2
295,121,Ekavir Modi,32,M,A3
296,121,Tarak Venkataraman,44,M,A4
297,122,Ishita Shanker,19,M,A1
298,123,Indira Murty,22,M,A1
299,123,Kamya Sachar,37,F,A2
300,124,Amol Vasa,25,M,A1
301,125,Anthony Majumdar,22,M,A1
302,125,Girindra Barad,51,F,A2
303,126,George Ratta,26,M,A1
304,126,Faras Nair,58,M,A2
305,127,Ijaya Saraf,16,M,A1
306,128,Michael Bedi,70,M,A1
307,128,Sanaya Thaman,39,M,A2
308,128,Tristan Sankaran,35,M,A3
309,129,Frederick Rastogi,35,M,A1
310,130,Qushi Naik,19,M,A1
311,131,Ekani Padmanabhan,31,F,A1
312,131,Dalaja Gara,62,M,A2
313,132,Kashvi Dugal,30,F,A1
314,132,Isaiah Bhagat,53,M,A2
315,132,Manbir Mani,58,M,A3
316,133,Garima Kadakia,28,M,A1
317,133,Samar Virk,63,M,A2
318,133,Vasudha Dhaliwal,67,M,A3
319,133,Krisha Vyas,38,M,A4
320,134,Ekalinga Rama,34,F,A1
321,134,Jagvi Chokshi,65,T,A2
322,135,Quincy Issac,62,M,A1
323,135,Anthony Baral,34,M,A2
324,135,Dalaja Nath,53,F,A3
325,135,Maya Dugar,55,M,A4
326,136,Ayushman Mammen,53,F,A1
327,136,Max Om,66,F,A2
328,137,Forum Sen,59,M,A1
329,137,Samuel Devi,59,F,A2
330,137,Lakshit More,30,M,A3
331,137,Qushi Dhillon,30,M,A4
332,138,Ayushman Nagar,18,M,A1
333,138,Nisha Mitter,32,F,A2
334,139,Vincent Kashyap,25,T,A1
335,139,Jagrati Buch,29,M,A2
336,139,Krish Thakkar,20,M,A3
337,140,Anamika Sachar,31,M,A1
338,141,Prisha Ravel,61,M,A1
339,142,Balveer Ram,46,M,A1
340,143,Ubika Seth,38,F,A1
341,144,Praneel Setty,68,M,A1
342,144,Suhani Chana,43,M,A2
343,145,Lajita Bassi,59,T,A1
344,146,Oni Morar,16,M,A1
345,146,Sanaya Mani,62,M,A2
346,146,Jacob Deep,37,M,A3
347,146,Aarush Kulkarni,31,M,A4
348,147,Abeer Konda,35,M,A1
349,147,Sarthak Bawa,37,M,A2
350,148,Chanchal Narula,54,M,A1
351,148,Chandran Chopra,27,F,A2
352,149,Balendra Chander,35,M,A1
353,150,Odika Vohra,66,F,A1
354,150,Shaurya Bhardwaj,62,F,A2
355,150,Gagan Sule,29,M,A3
356,151,Pranit Kaul,46,M,A1
357,151,Rishi Agarwal,42,F,A2
358,151,Arjun Shroff,67,F,A3
359,152,Darika Mital,29,M,A1
360,153,Parth Hari,47,M,A1
361,153,Hamsini Srinivas,33,M,A2
362,154,Turvi Sachdev,54,F,A1
363,154,Chandani Mutti,63,M,A2
364,155,Azaan Nori,65,M,A1
365,155,Noah Ramachandran,44,F,A2
366,156,Gabriel Taneja,48,F,A1
367,156,Kamya Seth,24,M,A2
368,156,Tarak Vohra,32,F,A3
369,157,Sachi Toor,64,F,A1
370,157,Vasudha Tella,52,F,A2
371,157,Ranveer Oak,39,M,A3
372,158,Aayush Mukhopadhyay,49,F,A1
373,158,Gagan Nath,40,M,A2
374,158,Chakradhar Chauhan,23,M,A3
375,158,Arin Muni,68,M,A4
376,159,Ridhi Dalal,62,M,A1
377,160,Yash Garg,29,M,A1
378,160,Deepa Nigam,68,M,A2
379,160,Chandresh De,46,F,A3
380,161,Pooja Ramanathan,46,M,A1
381,161,Sanaya Parekh,63,F,A2
382,161,Gaurangi Hora,23,M,A3
383,161,Udyati Deep,64,M,A4
384,162,Aarna Patla,54,M,A1
385,163,Dhruv Soman,21,F,A1
386,164,Nidra Chhabra,70,M,A1
387,164,Ekavir Mittal,69,M,A2
388,164,Nandini Sachdev,25,M,A3
389,164,Yagnesh Dutt,29,M,A4
390,165,Ubika Nanda,67,M,A1
391,165,Sai Goda,19,M,A2
392,166,Liam Acharya,59,F,A1
393,166,Manthan Sethi,49,M,A2
394,167,Daksha Saran,62,F,A1
395,167,Gaurav Anand,57,M,A2
396,167,Joshua Menon,62,M,A3
397,167,Kala Bera,67,M,A4
398,168,Nidra Raj,45,M,A1
399,169,Bhavya Dass,49,M,A1
400,169,Advay Bora,19,F,A2
401,169,Maanas Sur,39,F,A3
402,170,Pranit Sha,26,F,A1
403,170,Shivani Rajagopalan,16,F,A2
404,170,Upkaar Grewal,47,F,A3
405,170,Abhimanyu Tara,17,F,A4
406,171,Ati Shroff,48,M,A1
407,171,Gaurang Korpal,34,M,A2
408,171,Faras Zacharia,70,M,A3
409,172,Balendra Modi,64,F,A1
410,173,Bhavini Sundaram,23,M,A1
411,173,Jonathan Tiwari,59,M,A2
412,173,Arunima Krishnan,60,F,A3
413,174,Parth Lal,23,F,A1
414,174,Vedhika Golla,49,M,A2
415,174,Hemal Chad,30,M,A3
416,175,Chatura Lalla,69,M,A1
417,175,Charles Ganesh,43,F,A2
418,175,Mohini Soni,64,F,A3
419,176,Adweta Dhillon,27,F,A1
420,177,Rachana Mahajan,53,M,A1
421,177,Anamika Loke,34,F,A2
422,177,Aadhya Raman,28,F,A3
423,178,Nisha Chaudhari,26,M,A1
424,178,Sanaya Panchal,51,M,A2
425,179,Jagdish Chadha,19,M,A1
426,179,Keya Goyal,65,M,A2
427,179,Qarin Kulkarni,16,M,A3
428,179,Unni Borra,62,F,A4
429,180,Aradhana Bhatia,66,M,A1
430,180,Lipika Natarajan,18,F,A2
431,180,Aarna Lanka,63,M,A3
432,181,Raagini Kamdar,29,M,A1
433,181,Riya Lad,49,M,A2
434,182,Max Narayan,65,M,A1
435,182,Aarush Varma,30,F,A2
436,182,Vanya Sarin,39,M,A3
437,182,Ekaraj Zachariah,29,M,A4
438,183,Harini Buch,32,M,A1
439,183,Bimala Jain,69,M,A2
440,183,Balveer Rajagopalan,36,M,A3
441,183,Chandani Ramakrishnan,52,M,A4
442,184,Dev Zachariah,17,M,A1
443,184,Xalak Walla,23,M,A2
444,185,Nidra Dani,29,F,A1
445,185,Tara Yadav,59,F,A2
446,185,Viraj Bora,61,M,A3
447,185,Lohit Suresh,31,M,A4
448,186,Hitesh Comar,35,F,A1
449,187,Ekta Dara,27,F,A1
450,187,Ekanta Kala,22,F,A2
451,187,Oscar Nayak,27,F,A3
452,187,Jai Mahal,41,F,A4
453,188,Vidhi Buch,42,M,A1
454,189,Anika Virk,34,F,A1
455,189,Nisha Khare,51,F,A2
456,190,Omya Agrawal,17,F,A1
457,191,Chatresh Hari,48,F,A1
458,191,Manthan Som,33,M,A2
459,192,Hemang Ben,31,M,A1
460,193,Victor Choudhary,53,M,A1
461,193,Vedant Chaudhari,70,M,A2
462,193,Nitara Iyengar,44,F,A3
463,193,Thomas Borah,21,M,A4
464,194,Laban Shankar,52,M,A1
465,194,Jagrati Madan,17,F,A2
466,194,Gautami Datta,33,M,A3
467,194,Darpan Mand,17,F,A4
468,195,Onkar Karpe,56,M,A1
469,196,Yatin Kota,29,M,A1
470,196,Radha Kapadia,59,M,A2
471,196,Abdul Sahni,56,M,A3
472,196,Banjeet Singhal,41,M,A4
473,197,Kevin Parmer,57,M,A1
474,197,William Chana,34,F,A2
475,197,Varsha Mody,61,M,A3
476,198,Qasim Prabhakar,66,M,A1
477,199,Christopher Varma,21,M,A1
478,200,Ekalinga Jayaraman,63,M,A1
479,201,Ekani Pandit,35,M,A1
480,201,Yahvi Sampath,31,M,A2
481,201,Chatura Bhatnagar,53,F,A3
482,201,Hemani Sethi,32,M,A4
483,202,Siya Pillai,48,F,A1
484,203,Manbir Taneja,40,M,A1
485,204,Ranbir Bhatnagar,57,M,A1
486,204,Vincent Venkatesh,28,F,A2
487,204,Nisha Oza,20,M,A3
488,205,Damini Garg,60,F,A1
489,206,Qabil Gill,64,M,A1
490,206,Neel Khanna,56,M,A2
491,207,Qarin Jha,18,M,A1
492,207,Edhitha Padmanabhan,17,M,A2
493,207,Kashish Sen,69,M,A3
494,207,Charvi Dara,16,M,A4
495,208,Manan Sathe,21,T,A1
496,209,Aryan Ratti,46,M,A1
497,209,Sanaya Parikh,19,F,A2
498,209,Eta Bhakta,37,F,A3
499,209,Tristan Mall,24,F,A4
500,210,Yasti Bhalla,59,F,A1
501,210,Mitali Divan,43,M,A2
502,210,Kala Raju,42,F,A3
503,211,Nihal Samra,65,M,A1
504,212,Anjali Sachdeva,43,F,A1
505,212,Turvi Devan,19,F,A2
506,212,Quincy Raj,67,F,A3
507,213,Mitesh Lala,22,M,A1
508,214,Janaki Srivastava,54,M,A1
509,215,Madhav Nagarajan,57,F,A1
510,215,Krishna Parikh,29,F,A2
511,215,Chatresh Mahajan,35,M,A3
512,216,Girindra Ganesh,24,M,A1
513,216,Diya Mitra,39,M,A2
514,216,Janani Char,48,M,A3
515,216,Maanas Arya,32,M,A4
516,217,Nicholas Chaudry,44,M,A1
517,217,Mohammed Thakur,17,M,A2
518,217,Raghav Vora,32,M,A3
519,218,Varsha Pall,58,F,A1
520,219,Damyanti Dass,29,M,A1
521,220,Yochana Bhargava,31,F,A1
522,220,Jagat Kulkarni,46,F,A2
523,220,Dominic Mitra,32,F,A3
524,220,Gopal Dasgupta,67,M,A4
525,221,Naveen Tella,39,F,A1
526,221,Yashasvi Bir,36,M,A2
527,222,Qasim Sarraf,26,M,A1
528,222,Pratyush Pant,20,M,A2
529,223,Jatin Shukla,51,M,A1
530,223,Zinal Deshpande,35,M,A2
531,223,Jalsa Mani,40,F,A3
532,223,Fitan Narang,30,M,A4
533,224,Priya Gulati,16,M,A1
534,224,Vamakshi Pillai,27,M,A2
535,224,Agastya Swamy,37,F,A3
536,224,Meghana Sarma,20,M,A4
537,225,Hamsini Iyer,52,M,A1
538,225,Jason Kaul,60,F,A2
539,225,Xalak Mallick,23,M,A3
540,225,Mugdha Parekh,26,F,A4
541,226,Jason Krishna,64,M,A1
542,227,Praneel Raja,69,M,A1
543,227,Michael Mitter,21,T,A2
544,228,Hemal Zachariah,64,M,A1
545,229,Balendra Bali,19,F,A1
546,230,Lopa Sura,61,M,A1
547,230,Vritti Zacharia,16,M,A2
548,230,Vamakshi Dugar,38,F,A3
549,231,Chakradev Dave,51,M,A1
550,231,Ikshita Bala,44,M,A2
551,231,Lajita Chatterjee,17,F,A3
552,231,Hemani Parikh,18,M,A4
553,232,Anmol Yohannan,16,M,A1
554,232,Baljiwan Sharma,64,M,A2
555,232,Yutika Sama,51,M,A3
556,232,Anmol Singh,46,M,A4
557,233,Watika Thakkar,19,M,A1
558,233,Ojas Mistry,65,M,A2
559,233,Rajata Jaggi,63,M,A3
560,233,Faqid Wason,67,M,A4
561,234,Prisha Kadakia,23,F,A1
562,235,Pranit Bahl,51,F,A1
563,235,Xalak Kala,68,M,A2
564,235,Amrita Walia,42,M,A3
565,236,Devansh Jani,34,M,A1
566,236,Amara Mangat,42,F,A2
567,237,Rajata Sami,16,F,A1
568,238,Arunima Goda,62,F,A1
569,238,Vedika Bahri,41,M,A2
570,238,Fiyaz Murthy,18,F,A3
571,238,Devansh Ray,25,M,A4
572,239,Zayan Taneja,53,M,A1
573,239,Wazir Das,36,F,A2
574,239,Forum Ramakrishnan,63,F,A3
575,239,Pallavi Kamdar,53,F,A4
576,240,Kavya Chowdhury,30,M,A1
577,240,Pallavi Soman,36,F,A2
578,241,Ansh Banerjee,61,F,A1
579,241,Wriddhish Kulkarni,62,F,A2
580,241,Dayamai Patil,55,F,A3
581,242,Charvi Chana,25,M,A1
582,242,Chameli Kade,54,M,A2
583,242,Reva Nadig,40,M,A3
584,243,Naveen Lal,61,M,A1
585,243,Indira Salvi,38,M,A2
586,243,Sudiksha Bala,68,F,A3
587,243,Qarin Sawhney,42,F,A4
588,244,Ekaja Seth,42,M,A1
589,244,Kiaan Lad,21,M,A2
590,245,Qabil Ramaswamy,60,M,A1
591,245,Udarsh Bail,22,M,A2
592,245,Veer Chakraborty,26,F,A3
593,245,Rushil Lala,22,M,A4
594,246,Sudiksha Talwar,60,F,A1
595,246,Udarsh Jani,33,M,A2
596,246,Amaira Mani,52,M,A3
597,246,Lavanya De,57,M,A4
598,247,Nilima Dhingra,61,M,A1
599,248,Mitali Kala,69,F,A1
600,249,Zehaan Thaman,32,M,A1
601,249,Chasmum Rana,21,M,A2
602,250,Harinakshi Sidhu,66,M,A1
603,250,Gaurav Nadig,62,M,A2
604,250,Lucky Lad,30,M,A3
605,251,Qushi Mandal,60,F,A1
606,252,Chatura Karpe,17,F,A1
607,253,Riya Parikh,60,F,A1
608,253,Tanvi Tailor,39,F,A2
609,253,Manbir Dasgupta,30,M,A3
610,253,Girik Jani,22,M,A4
611,254,Atharv Mane,70,M,A1
612,254,Meera Prakash,58,M,A2
613,254,Ekiya Dube,55,M,A3
614,254,Finn Sharma,46,F,A4
615,255,Ekta Dayal,39,F,A1
616,255,Chanakya Mandal,41,M,A2
617,256,Pranav Khatri,58,F,A1
618,257,Dayita Deep,49,M,A1
619,257,Gopal Pillai,59,F,A2
620,257,Vrishti Sehgal,45,F,A3
621,258,Ubika Kapur,43,M,A1
622,258,Warhi Vyas,36,F,A2
623,259,Chakrika Batta,48,M,A1
624,259,Chakradev Varghese,23,M,A2
625,259,Yashvi Sandal,66,F,A3
626,259,Girindra Shetty,30,M,A4
627,260,Turvi Gola,29,M,A1
628,261,Harita Grover,43,M,A1
629,261,Qasim Brar,26,M,A2
630,261,Hitesh Saraf,51,M,A3
631,261,Abdul Rana,70,M,A4
632,262,Chavvi Patel,51,M,A1
633,263,Avi Kadakia,61,F,A1
634,264,Pahal Bains,16,M,A1
635,264,Ojas Dua,50,M,A2
636,264,Vedhika Sinha,66,F,A3
637,264,Shivani Kibe,51,M,A4
638,265,Mugdha Sunder,57,M,A1
639,265,Vincent Bhat,35,M,A2
640,265,Pahal Mutti,33,F,A3
641,265,Amrita Sahni,60,F,A4
642,266,Upasna Padmanabhan,61,F,A1
643,267,Chaaya Ramakrishnan,17,F,A1
644,267,Jagvi Sodhi,64,M,A2
645,268,Harrison Sagar,16,F,A1
646,268,Chavvi Keer,47,M,A2
647,269,Ishaan Karan,41,F,A1
648,269,Udarsh Sur,19,F,A2
649,269,Harini Pant,52,M,A3
650,269,Amara Dora,16,M,A4
651,270,Benjamin Tripathi,60,M,A1
652,271,Hardik Dube,58,M,A1
653,271,Gaurika Devi,56,M,A2
654,271,Saksham Sarna,48,M,A3
655,272,Max Wagle,53,M,A1
656,273,Saanvi Dhingra,57,F,A1
657,273,Zansi Boase,17,M,A2
658,274,Dalbir Venkatesh,25,M,A1
659,274,Oni Ratti,44,M,A2
660,275,Netra Sehgal,63,M,A1
661,276,Tanay Chander,42,F,A1
662,276,Harini Dutta,51,M,A2
663,277,Jatin Batta,43,M,A1
664,278,Zinal Kota,23,F,A1
665,278,Falak Varty,64,F,A2
666,279,Pavani De,36,F,A1
667,280,Vrishti Saha,36,M,A1
668,280,Maanas Tiwari,63,F,A2
669,280,Vedhika Shankar,63,M,A3
670,280,Yochana Wadhwa,69,F,A4
671,281,Jai Pingle,49,M,A1
672,281,Banjeet Virk,33,M,A2
673,281,Jacob Prabhu,55,M,A3
674,281,Kavya Mitter,19,M,A4
675,282,Jason Palla,20,M,A1
676,282,Chaitanya Sahni,68,M,A2
677,283,Shivani Sen,62,M,A1
678,283,Eshana Chakraborty,32,F,A2
679,283,Lila Kaul,66,F,A3
680,283,Harinakshi Zachariah,21,M,A4
681,284,Jatin Chada,37,F,A1
682,284,Chatresh Vig,20,F,A2
683,284,Vamakshi Thakkar,53,M,A3
684,284,Jai Wali,40,F,A4
685,285,Ekani Ratti,29,F,A1
686,286,Arjun Wable,21,M,A1
687,286,Lavanya Kurian,17,M,A2
688,286,Ishwar Chaudhary,70,M,A3
689,287,Avi Bhardwaj,27,M,A1
690,287,Madhavi Chaudhary,49,M,A2
691,287,Lucky Sachar,40,F,A3
692,288,Eesha Shetty,65,M,A1
693,288,Dominic Sule,63,F,A2
694,289,Jeremiah Modi,39,F,A1
